                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6337,                 1.3623,                 2.2328,                0.66618,                0.57569,                0.55949,                0.20839,                  2.182,                 1.7151,                 2.8405,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.6625,                 1.2802,                 2.2374,                0.58769,                0.53846,                0.55471,                0.21211,                  2.314,                  1.649,                    3.2,               0.001307,               0.001307,               0.001307
                     37,                 1.6322,                 1.2406,                 2.2158,                0.68451,                0.59615,                0.65684,                0.26547,                  2.126,                 1.4693,                 2.8503,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.6063,                  1.236,                 2.2028,                0.55242,                0.52223,                0.58936,                0.25439,                 2.1566,                 1.5609,                 2.8139,              0.0012674,              0.0012674,              0.0012674
                     39,                  1.585,                 1.2117,                 2.1944,                0.69955,                0.53734,                0.53549,                 0.2056,                  2.289,                 1.7231,                 3.0988,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.5854,                 1.1834,                 2.1252,                0.54783,                0.69231,                0.61554,                0.24298,                  2.135,                 1.5399,                 2.7194,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.5988,                 1.1413,                 2.1564,                0.82324,                0.42308,                0.60212,                0.25765,                 2.2181,                 1.5879,                 2.8603,               0.001208,               0.001208,               0.001208
                     42,                 1.4825,                 1.1144,                 2.1135,                 0.5367,                0.59615,                0.65077,                0.26484,                 2.2177,                  1.429,                 2.7563,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.4633,                 1.0372,                  2.034,                0.68884,                0.53846,                0.67903,                0.29211,                 2.1405,                 1.4281,                 2.7382,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.4826,                 1.0308,                  2.078,                0.71599,                0.53846,                0.62499,                0.27494,                 2.1352,                  1.489,                  2.726,              0.0011486,              0.0011486,              0.0011486
                     45,                  1.482,                 1.0448,                 2.0243,                0.83775,                0.48077,                0.63365,                0.24348,                 2.2266,                 1.4779,                 3.0072,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.4323,                 1.0253,                 2.0534,                0.61588,                0.51923,                0.57032,                0.25024,                 2.1424,                 1.6958,                 2.9122,               0.001109,               0.001109,               0.001109
                     47,                 1.4447,                0.95375,                 2.0433,                0.77319,                0.59615,                 0.6371,                0.26455,                 2.0658,                 1.6596,                 2.7382,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.4228,                0.97842,                      2,                0.68321,                0.53918,                0.61163,                0.26076,                 2.0586,                 1.5534,                 2.6944,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3781,                 1.0205,                 2.0159,                0.67045,                0.51923,                0.62365,                0.27824,                 2.0873,                 1.4753,                 2.7372,              0.0010496,              0.0010496,              0.0010496
                     50,                  1.472,                0.96971,                 2.0517,                0.76432,                0.46154,                0.58252,                 0.2304,                 2.3154,                 1.7674,                  3.106,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.4051,                 0.9478,                 1.9814,                0.62468,                0.60822,                0.65365,                0.28675,                 2.2668,                 1.4078,                 2.9325,                0.00101,                0.00101,                0.00101
                     52,                 1.3356,                0.86717,                 1.9152,                0.66677,                0.65416,                0.73008,                0.30474,                 2.1642,                 1.2768,                 2.8442,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.3754,                0.93537,                 1.9226,                0.83549,                0.55769,                0.71985,                0.29128,                 2.1996,                 1.2875,                 2.9888,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.3366,                0.88281,                 1.8657,                0.63161,                0.65385,                0.63742,                0.24842,                 2.1611,                  1.486,                 2.9024,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.3126,                 0.8582,                 1.8867,                0.90894,                0.57587,                0.74815,                0.30156,                 2.0964,                 1.3676,                 2.7737,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3556,                0.90729,                 1.9088,                0.83508,                 0.5844,                0.70659,                0.30966,                 2.1232,                 1.2822,                 2.8537,               0.000911,               0.000911,               0.000911
                     57,                 1.3052,                0.87848,                 1.9249,                0.65496,                0.59615,                0.66746,                0.29264,                 2.0637,                 1.4722,                 2.7641,              0.0008912,              0.0008912,              0.0008912
