                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6148,                 1.2894,                 2.2453,                0.58901,                0.51923,                0.54504,                0.22009,                 2.1559,                 1.6599,                 3.0112,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.6334,                 1.3362,                 2.2636,                0.52503,                0.55769,                0.55213,                0.21111,                 2.1543,                 1.7814,                 2.8319,               0.001307,               0.001307,               0.001307
                     37,                 1.6859,                 1.3402,                 2.2538,                0.56993,                 0.5098,                0.51978,                0.21785,                 2.1946,                 1.7272,                  2.948,              0.0012872,              0.0012872,              0.0012872
                     38,                  1.591,                 1.2387,                 2.1697,                0.63121,                0.53846,                0.59687,                0.20298,                 2.3149,                 1.6225,                 2.9914,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.5655,                 1.2162,                 2.1452,                0.50995,                0.62042,                0.58114,                0.22342,                 2.3117,                 1.5422,                 2.9494,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.6548,                 1.2031,                 2.1913,                0.61222,                0.65385,                 0.6539,                 0.2524,                 2.1799,                    1.6,                 2.8609,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.5251,                  1.078,                 2.1263,                 0.7423,                0.55769,                0.63543,                0.22928,                 2.3584,                 1.5998,                 3.0241,               0.001208,               0.001208,               0.001208
                     42,                 1.5271,                 1.1096,                 2.1236,                0.76277,                0.57692,                0.67755,                 0.2824,                 2.3379,                 1.4272,                 2.9777,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.4988,                 1.1568,                 2.0889,                0.78561,                0.56387,                0.69517,                 0.2836,                  2.207,                 1.3883,                 2.8729,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.4976,                 1.0848,                 2.0873,                0.79801,                0.60792,                0.66197,                0.27245,                 2.2277,                 1.3938,                 2.9213,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.5068,                 1.0878,                 2.0573,                0.70984,                0.56466,                0.60074,                0.22975,                 2.3041,                 1.5711,                  3.153,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.4511,                 1.0549,                 2.0598,                0.65285,                0.61538,                0.65602,                0.24297,                 2.2717,                 1.4766,                 2.9181,               0.001109,               0.001109,               0.001109
                     47,                 1.3971,                0.99346,                 1.9864,                0.72318,                0.53846,                0.62434,                 0.2566,                 2.2215,                 1.4899,                 2.9544,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.4668,                 1.0005,                 2.0168,                 0.6992,                0.71154,                0.69798,                0.29623,                 2.2207,                 1.4835,                 2.9255,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.4233,                0.98043,                 2.0298,                0.73098,                0.59615,                0.66412,                0.25788,                 2.3071,                 1.4222,                 2.9463,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.4205,                 0.9894,                 1.9877,                0.72586,                0.57692,                0.68799,                0.27521,                  2.262,                 1.3715,                 2.9053,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3792,                0.94959,                 1.9342,                0.65535,                0.61538,                0.66807,                0.27635,                  2.246,                  1.572,                 2.8848,                0.00101,                0.00101,                0.00101
                     52,                 1.4065,                0.95733,                 1.9658,                0.73102,                0.62729,                0.65482,                0.29084,                 2.2181,                  1.444,                 2.8712,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.3565,                0.94869,                 1.9082,                0.69458,                0.48077,                0.58809,                0.27709,                 2.3002,                 1.5699,                 3.1445,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.3416,                0.95115,                 1.8594,                0.65971,                0.59615,                0.65208,                0.24903,                 2.3102,                  1.538,                 3.0511,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.3158,                0.92616,                 1.8987,                0.64562,                0.69231,                 0.6917,                0.27375,                 2.2782,                 1.3873,                 3.0166,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3581,                0.95984,                  1.881,                0.75552,                0.65372,                0.70489,                0.29006,                 2.2999,                 1.4155,                 3.0052,               0.000911,               0.000911,               0.000911
                     57,                 1.2466,                0.87707,                 1.8681,                 0.7852,                0.53846,                0.65575,                0.27623,                 2.3347,                 1.5182,                 3.0102,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.3222,                0.92174,                 1.8814,                0.78596,                0.57692,                 0.6463,                0.27531,                 2.3084,                 1.4722,                 3.0453,              0.0008714,              0.0008714,              0.0008714
