                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                0.59493,                0.75482,                 2.2712,                0.49139,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.8867,                  15008,                   5213,                 152.49,              0.0017228,              0.0017228,              0.0017228
                     16,                0.88444,                 1.1127,                 2.0168,                0.71238,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                      0,                      0,                   3550,                      0,               0.001703,               0.001703,               0.001703
                     17,                 1.0439,                  1.219,                 2.2988,                0.85291,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                      0,                      0,                   3550,                      0,              0.0016832,              0.0016832,              0.0016832
                     18,                0.57986,                 1.0406,                 1.7146,                0.62115,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 2.6906,                 4.0574,                   1035,                 4.3637,              0.0016634,              0.0016634,              0.0016634
                     19,                0.33684,                0.88983,                 1.2187,                0.26209,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.4931,                 5.0925,                 19.909,                 3.3222,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0009,                 1.3307,                 2.0234,                0.83533,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.4678,                 5.0972,                 4.4795,                 3.3119,              0.0016238,              0.0016238,              0.0016238
                     21,                0.62031,                0.96152,                  1.384,                0.48339,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.4678,                 5.0972,                 4.4795,                 3.3119,               0.001604,               0.001604,               0.001604
                     22,                0.47243,                0.78616,                 1.2342,                0.47388,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.7671,                  5.047,                 4.4473,                 3.3106,              0.0015842,              0.0015842,              0.0015842
                     23,                0.33775,                0.51866,                0.78113,                0.28671,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.8414,                 5.0583,                 4.6397,                 3.3975,              0.0015644,              0.0015644,              0.0015644
                     24,                0.37477,                0.52177,                0.91229,                0.35152,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                  3.901,                 5.1142,                 4.7675,                 3.5071,              0.0015446,              0.0015446,              0.0015446
                     25,                0.61785,                0.93305,                 1.2738,                0.56043,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.8801,                 5.1624,                 4.8487,                 3.4462,              0.0015248,              0.0015248,              0.0015248
                     26,                0.43267,                0.53554,                0.84841,                0.34172,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.8801,                 5.1624,                 4.8487,                 3.4462,               0.001505,               0.001505,               0.001505
                     27,                0.34088,                0.54985,                0.77684,                0.37853,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.7748,                 5.2001,                 5.0591,                 3.3477,              0.0014852,              0.0014852,              0.0014852
                     28,                0.60553,                 1.0443,                  1.134,                0.54029,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.6522,                 5.1775,                 5.2057,                 3.3005,              0.0014654,              0.0014654,              0.0014654
                     29,                0.63734,                0.75242,                0.94509,                0.56527,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.5508,                 5.1494,                 5.3021,                 3.2816,              0.0014456,              0.0014456,              0.0014456
                     30,                0.71382,                 1.0746,                 1.1852,                0.62611,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.5508,                 5.1494,                 5.3021,                 3.2816,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.3321,                 2.0552,                 2.1984,                 1.2254,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.5457,                 5.1247,                  5.298,                 3.2679,               0.001406,               0.001406,               0.001406
                     32,                 1.2201,                 2.0735,                 2.1018,                 1.1429,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.5479,                 5.1044,                  5.304,                 3.2903,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.1548,                 2.0069,                 2.1427,                 1.0777,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.5581,                 5.0397,                 5.2338,                 3.2875,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.0237,                 1.6052,                 1.7684,                0.95997,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.6319,                 5.0103,                 5.2915,                 3.3071,              0.0013466,              0.0013466,              0.0013466
                     35,                0.96414,                 1.6893,                 1.5064,                0.86262,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.6319,                 5.0103,                 5.2915,                 3.3071,              0.0013268,              0.0013268,              0.0013268
                     36,                  1.318,                 2.6803,                 2.2258,                  1.243,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.6153,                 4.9757,                 5.2214,                 3.2469,               0.001307,               0.001307,               0.001307
                     37,                 1.3348,                 2.0045,                  2.247,                 1.2228,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                  3.609,                 4.9505,                 5.2101,                 3.2494,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0788,                 1.8544,                 1.9762,                 1.0294,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.5336,                 4.9462,                 5.2088,                 3.2561,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0372,                 1.5579,                 1.7266,                0.99504,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.4497,                 4.8894,                 5.1943,                 3.2695,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0627,                 1.7739,                  1.957,                  1.051,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.4497,                 4.8894,                 5.1943,                 3.2695,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0452,                 2.3269,                 1.6953,                0.94801,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                   3.37,                 4.8249,                 5.1622,                 3.2302,               0.001208,               0.001208,               0.001208
                     42,                 1.1115,                 1.8046,                  1.894,                 1.0923,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.3322,                 4.7912,                 5.1118,                 3.2084,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0746,                 1.8229,                 1.8659,                 1.0573,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.3271,                 4.7961,                 4.9941,                 3.1967,              0.0011684,              0.0011684,              0.0011684
                     44,                0.91625,                 1.5475,                 1.7207,                0.90422,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.3271,                 4.7961,                 4.9941,                 3.1967,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1861,                 1.9386,                 2.1211,                 1.1745,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                  3.204,                 4.8553,                 4.8106,                 3.1417,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0743,                 1.9239,                  1.826,                 1.1318,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.2263,                 4.8952,                  4.896,                 3.1442,               0.001109,               0.001109,               0.001109
                     47,                 1.2835,                 1.9869,                 2.0828,                 1.2005,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.1997,                 4.9118,                 4.8133,                 3.1195,              0.0010892,              0.0010892,              0.0010892
                     48,                  1.072,                 1.9165,                  1.926,                 1.0509,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.1607,                 4.9086,                 4.7199,                 3.0936,              0.0010694,              0.0010694,              0.0010694
                     49,                0.97983,                 1.8168,                 1.8155,                 1.0281,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.1607,                 4.9086,                 4.7199,                 3.0936,              0.0010496,              0.0010496,              0.0010496
                     50,                  1.098,                  1.695,                 1.7991,                 1.0167,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.1427,                  4.863,                 4.6336,                 3.0623,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1566,                 2.0829,                 1.7912,                 1.1307,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.1578,                 4.8619,                 4.7264,                 3.0671,                0.00101,                0.00101,                0.00101
                     52,                0.97886,                 1.7832,                 1.6534,                0.96126,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.1522,                 4.8514,                 4.7594,                 3.0645,              0.0009902,              0.0009902,              0.0009902
