                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.26603,                0.64784,                 14.809,                0.36521,                0.90649,                0.16667,                0.19886,                0.05245,                0.03959,                0.33333,                0.03588,                0.02449,                 0.9313,                 1.9717,                 3.1993,                 1.2047,                0.00048,                0.00048,                0.00048
                      2,                0.14779,                0.22527,                 18.732,                0.17333,                0.92913,                0.16667,                0.20324,                0.07156,                0.05123,                0.16667,                0.03479,                0.01947,                0.88786,                 1.9629,                 3.3152,                 1.1817,              0.0009703,              0.0009703,              0.0009703
                      3,                0.11801,                 0.4475,                 18.437,                0.21312,                0.88791,                0.16667,                0.19987,                0.06969,                0.07052,                0.16667,                0.02519,                0.01671,                0.86865,                 1.9069,                 3.4494,                 1.1987,              0.0014507,              0.0014507,              0.0014507
                      4,                 0.0692,                0.26863,                 161.55,                0.08127,                0.00293,                0.66667,                0.00448,                0.00115,                      0,                      0,                      0,                      0,                 3.0802,                 21.843,                 2748.3,                 3.5687,              0.0019212,              0.0019212,              0.0019212
                      5,                0.53055,                0.69241,                 182.55,                0.40614,                0.00086,                0.16667,                0.00038,                  7e-05,                      0,                      0,                      0,                      0,                 2.8924,                 9.7967,                 82.181,                 3.1169,              0.0019208,              0.0019208,              0.0019208
                      6,                 0.6603,                 1.8371,                 168.02,                0.57232,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                 3.0273,                 8.8922,                 36.324,                 3.0282,               0.001901,               0.001901,               0.001901
                      7,                0.67309,                 2.0982,                 168.52,                0.68661,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      8,                0.99459,                 1.1553,                 224.24,                0.84383,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0018614,              0.0018614,              0.0018614
                      9,                0.98438,                 1.7033,                 79.078,                0.92483,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     10,                0.38117,                0.98759,                 29.214,                0.38796,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0018218,              0.0018218,              0.0018218
                     11,                 0.9105,                 1.2555,                 6.0538,                 0.7433,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                     12,                0.51127,                0.85139,                 3.9264,                0.47527,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0017822,              0.0017822,              0.0017822
                     13,                0.74091,                0.98411,                 3.2774,                 0.6837,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                     14,                0.53008,                0.73605,                 2.7503,                0.55192,                0.00048,                0.16667,                0.00031,                0.00015,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0017426,              0.0017426,              0.0017426
