                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.16183,                0.53348,                   15.4,                0.35147,                0.00238,                0.83333,                0.01053,                0.00614,                0.00238,                0.83333,                0.01911,                0.01044,                0.78066,                 1.3242,                 3.9331,                 1.2014,                0.00048,                0.00048,                0.00048
                      2,                0.10724,                0.24422,                 18.759,                0.15929,                0.00238,                0.83333,                0.00741,                0.00434,                0.00238,                0.83333,                0.01759,                0.00963,                0.82482,                  1.357,                 3.9183,                 1.2203,              0.0009703,              0.0009703,              0.0009703
                      3,                 0.6094,                 1.7394,                 454.21,                0.53896,                0.00238,                0.83333,                0.00741,                0.00434,                0.00238,                0.83333,                0.01759,                0.00963,                 3.0744,                 39.942,                    inf,                 4.1469,              0.0014507,              0.0014507,              0.0014507
